time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
33223.518046,0.421524,0,0,76,0,1,4,0,0,30,0,1,8,,0.063476,0.485000
38476.414061,0.489524,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000000,0.485000
30637.585594,0.489524,1,1,0,0,0,0,0,0,0,0,0,0,2,0.000000,0.485000
30149.395582,0.458667,1,1,0,0,0,0,1,1,0,0,0,0,3,0.026333,0.485000
29454.788833,0.401524,1,1,0,0,0,0,2,2,0,0,0,0,4,0.083476,0.485000
26669.191349,0.378667,1,1,0,1,1,0,0,0,0,0,0,0,5,0.106333,0.485000
26063.909445,0.394857,1,1,0,1,1,0,1,1,0,0,0,0,6,0.090143,0.485000
25678.147336,0.378667,1,1,0,1,1,0,2,2,0,0,0,0,7,0.106333,0.485000
22727.111880,0.350095,1,1,0,2,2,0,0,0,0,0,0,0,8,0.134905,0.485000
22348.749726,0.394857,1,1,0,2,2,0,1,1,0,0,0,0,9,0.090143,0.485000
21861.151371,0.352952,1,1,0,2,2,0,2,2,0,0,0,0,10,0.132048,0.485000
17461.985869,0.329524,1,1,0,3,3,0,0,0,0,0,0,0,11,0.155476,0.485000
17268.146163,0.450095,1,1,0,3,3,0,1,1,0,0,0,0,12,0.034905,0.485000
16881.859730,0.360952,1,1,0,3,3,0,2,2,0,0,0,0,13,0.124048,0.485000
36837.500180,0.489524,0,0,0,0,0,0,0,0,0,0,0,0,14,0.000000,0.485000
38527.220720,0.489524,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000000,0.485000
30659.720761,0.489524,1,1,0,0,0,0,0,0,0,0,0,0,2,0.000000,0.485000
30151.878587,0.458667,1,1,0,0,0,0,1,1,0,0,0,0,3,0.026333,0.485000
29488.185388,0.401524,1,1,0,0,0,0,2,2,0,0,0,0,4,0.083476,0.485000
26705.069179,0.378667,1,1,0,1,1,0,0,0,0,0,0,0,5,0.106333,0.485000
26051.880252,0.394857,1,1,0,1,1,0,1,1,0,0,0,0,6,0.090143,0.485000
25677.786755,0.378667,1,1,0,1,1,0,2,2,0,0,0,0,7,0.106333,0.485000
22757.433153,0.350095,1,1,0,2,2,0,0,0,0,0,0,0,8,0.134905,0.485000
22378.341122,0.377714,1,1,0,2,2,0,1,1,0,0,0,0,9,0.107286,0.485000
21893.621485,0.350095,1,1,0,2,2,0,2,2,0,0,0,0,10,0.134905,0.485000
17462.310310,0.369524,1,1,0,3,3,0,0,0,0,0,0,0,11,0.115476,0.485000
17306.426889,0.450095,1,1,0,3,3,0,1,1,0,0,0,0,12,0.034905,0.485000
16911.404362,0.320952,1,1,0,3,3,0,2,2,0,0,0,0,13,0.164048,0.485000
36874.782500,0.489524,0,0,0,0,0,0,0,0,0,0,0,0,14,0.000000,0.485000
