time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
6445.960630,0.481389,0,2,3,2,2,1,0,0,5,0.000000,0.460000
6309.456534,0.485480,0,2,4,1,2,1,0,0,6,0.000000,0.460000
6300.876477,0.485480,0,2,5,1,2,1,0,0,5,0.000000,0.460000
6526.789675,0.485480,0,2,4,1,2,1,0,0,7,0.000000,0.460000
5789.391024,0.485480,0,2,4,1,2,1,0,0,2,0.000000,0.460000
5958.115581,0.485480,0,2,4,1,2,3,0,0,5,0.000000,0.460000
5507.145755,0.031250,0,1,5,1,1,1,1,1,0,0.428750,0.460000
8378.936245,0.485480,2,2,5,0,2,1,0,0,5,0.000000,0.460000
7290.387389,0.485480,0,2,4,1,2,2,0,0,6,0.000000,0.460000
7414.771154,0.444091,0,1,4,1,2,1,0,0,5,0.015909,0.460000
7117.616286,0.444091,0,1,5,1,2,1,0,0,4,0.015909,0.460000
4630.313859,0.056250,2,0,2,2,2,9,1,0,10,0.403750,0.460000
8262.464362,0.444091,2,1,5,0,1,1,0,0,3,0.015909,0.460000
6899.096235,0.485480,0,2,4,1,2,1,0,0,8,0.000000,0.460000
8232.772016,0.469091,2,0,3,0,1,3,0,0,8,0.000000,0.460000
6496.314671,0.031250,2,1,3,0,1,3,1,0,8,0.428750,0.460000
5617.338327,0.075000,1,1,5,1,0,9,1,0,7,0.385000,0.460000
6590.855755,0.075000,2,1,1,1,0,5,1,0,7,0.385000,0.460000
9093.295325,0.469091,2,0,3,0,1,3,0,0,9,0.000000,0.460000
7992.891425,0.469091,2,0,3,0,1,3,0,0,7,0.000000,0.460000
8794.768896,0.444091,2,1,3,0,1,3,0,0,7,0.015909,0.460000
8396.764370,0.469091,2,0,3,0,0,3,0,0,7,0.000000,0.460000
8768.982072,0.469091,2,0,3,0,1,2,0,0,7,0.000000,0.460000
8032.383781,0.469091,2,0,4,0,1,4,0,0,7,0.000000,0.460000
8135.552015,0.469091,2,0,2,0,1,3,0,0,7,0.000000,0.460000
6822.292853,0.469091,2,0,2,1,1,3,0,0,7,0.000000,0.460000
7014.407534,0.469091,2,0,2,1,1,2,0,0,8,0.000000,0.460000
7104.966304,0.469091,2,0,2,1,1,3,0,0,6,0.000000,0.460000
7014.316756,0.469091,2,0,2,1,1,5,0,0,5,0.000000,0.460000
7128.041707,0.469091,2,0,2,1,1,2,0,0,7,0.000000,0.460000
7229.852293,0.469091,2,0,2,1,1,4,0,0,7,0.000000,0.460000
6993.212290,0.469091,2,0,1,1,1,3,0,0,4,0.000000,0.460000
7314.174004,0.469091,1,0,1,1,1,3,0,0,7,0.000000,0.460000
6535.595025,0.031250,0,1,3,0,0,2,1,1,3,0.428750,0.460000
5493.108397,0.075000,2,0,2,1,1,3,1,0,7,0.385000,0.460000
5874.452834,0.455000,0,1,2,2,2,9,0,0,10,0.005000,0.460000
7923.151774,0.444091,1,1,1,0,1,8,0,1,10,0.015909,0.460000
