time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0
6238.082471,0.444091,2,1,3,2,0,2,0,0,5
5074.436337,0.400341,0,1,1,1,1,10,0,1,7
4625.141806,0.436250,0,0,1,2,1,10,0,1,7
5054.464347,0.485480,0,2,4,1,1,4,0,0,6
4301.480327,0.311944,1,2,5,2,1,6,0,1,6
5226.083674,0.469091,0,0,3,2,1,2,0,0,1
3843.500935,0.281389,0,2,1,2,1,10,0,1,5
4724.564850,0.419087,0,2,1,2,1,3,0,1,7
6648.762552,0.444091,1,1,5,0,0,7,0,1,9
2925.479619,0.031250,2,1,5,1,2,1,1,1,1
9071.768587,0.484289,2,2,0,0,0,0,0,0,0
7768.414082,0.484289,2,2,0,0,0,0,0,0,0
7024.673473,0.005556,2,2,0,0,0,0,1,1,0
8049.742245,0.484289,2,2,0,0,0,0,0,0,0
7052.165983,0.031250,1,1,0,0,0,0,1,1,0
4109.340648,0.055556,2,2,0,2,2,0,1,1,0
5283.523911,0.031250,1,1,0,1,1,0,1,1,0
6862.262466,0.480198,2,2,0,2,2,0,0,0,0
6310.953717,0.455000,1,1,0,2,2,0,0,0,0
7710.733717,0.480000,0,0,0,2,2,0,0,0,0
5284.786757,0.031250,1,1,0,1,1,0,1,1,0
6579.402704,0.469091,0,0,0,1,1,0,0,0,0
8382.340452,0.444091,1,1,0,0,0,0,0,0,0
7978.233094,0.484289,2,2,0,0,0,0,0,0,0
4031.021976,0.055556,2,2,0,2,2,0,1,1,0
5615.368253,0.031250,0,0,0,1,1,0,1,1,0
6238.012858,0.455000,1,1,0,2,2,0,0,0,0
7736.198323,0.455000,1,1,0,2,2,0,0,0,0
7288.121101,0.484289,2,2,0,1,1,0,0,0,0
6696.799040,0.484289,2,2,0,1,1,0,0,0,0
6790.051036,0.444091,1,1,0,1,1,0,0,0,0
7332.243057,0.444091,1,1,0,1,1,0,0,0,0
7233.442829,0.489722,2,2,0,2,2,0,0,0,0
6943.848748,0.005556,2,2,0,0,0,0,1,1,0
6335.348816,0.493813,2,2,0,1,1,0,0,0,0
6852.409891,0.493813,2,2,0,1,1,0,0,0,0
5646.943728,0.031250,0,0,0,1,1,0,1,1,0
6502.976774,0.493813,2,2,0,1,1,0,0,0,0
6883.603838,0.031250,0,0,0,0,0,0,1,1,0
6941.904669,0.493813,2,2,0,1,1,0,0,0,0
4340.850954,0.055556,2,2,0,2,2,0,1,1,0
7779.177402,0.493813,2,2,0,1,1,0,0,0,0
8207.503171,0.472980,0,0,0,0,0,0,0,0,0
6145.576906,0.493813,2,2,0,1,1,0,0,0,0
6647.504753,0.493813,2,2,0,1,1,0,0,0,0
6085.969325,0.489722,2,2,0,2,2,0,0,0,0
5898.455867,0.489722,2,2,0,2,2,0,0,0,0
5881.863701,0.489722,2,2,0,2,2,0,0,0,0
4117.229164,0.055556,2,2,0,2,2,0,1,1,0
7385.874452,0.493813,2,2,0,1,1,0,0,0,0
7600.080581,0.489722,2,2,0,2,2,0,0,0,0
7961.946300,0.493813,2,2,0,0,0,0,0,0,0
5947.762507,0.489722,2,2,0,2,2,0,0,0,0
7546.944944,0.489722,2,2,0,2,2,0,0,0,0
7367.161186,0.493813,2,2,0,1,1,0,0,0,0
6295.945723,0.493813,2,2,0,1,1,0,0,0,0
6606.813499,0.493813,2,2,0,1,1,0,0,0,0
4704.456287,0.055556,2,2,0,2,2,0,1,1,0
6223.971451,0.458889,1,1,0,2,2,0,0,0,0
4127.369994,0.031250,1,1,0,2,2,0,1,1,0
7812.454261,0.489722,2,2,0,2,2,0,0,0,0
8298.934372,0.472980,0,0,0,0,0,0,0,0,0
7432.135601,0.458889,1,1,0,2,2,0,0,0,0
6270.126173,0.458889,1,1,0,2,2,0,0,0,0
6361.152779,0.493813,2,2,0,1,1,0,0,0,0
6227.193900,0.458889,1,1,0,2,2,0,0,0,0
4094.207677,0.056250,0,0,0,2,2,0,1,1,0
7596.798548,0.483889,0,0,0,2,2,0,0,0,0
5254.632364,0.031250,0,0,0,1,1,0,1,1,0
6673.273928,0.483889,0,0,0,2,2,0,0,0,0
7902.569268,0.458889,1,1,0,2,2,0,0,0,0
6586.144129,0.031250,1,1,0,0,0,0,1,1,0
3930.686847,0.031250,1,1,0,2,2,0,1,1,0
6957.235880,0.447980,1,1,0,1,1,0,0,0,0
4273.992015,0.031250,1,1,0,2,2,0,1,1,0
5971.147054,0.005556,2,2,0,0,0,0,1,1,0
7138.310856,0.458889,1,1,0,2,2,0,0,0,0
5849.923472,0.031250,1,1,0,1,1,0,1,1,0
5062.469203,0.031250,1,1,0,1,1,0,1,1,0
6451.788180,0.005556,2,2,0,0,0,0,1,1,0
9280.202575,0.469091,0,0,0,0,0,0,0,0,0
7754.487042,0.484289,2,2,0,0,0,0,0,0,0
6559.899057,0.455000,1,1,0,2,2,0,0,0,0
7287.448735,0.455000,1,1,0,2,2,0,0,0,0
6473.678053,0.484289,2,2,0,1,1,0,0,0,0
7965.692367,0.484289,2,2,0,1,1,0,0,0,0
3997.563883,0.055556,2,2,0,2,2,0,1,1,0
5232.676747,0.031250,1,1,0,1,1,0,1,1,0
6160.897514,0.005556,2,2,0,0,0,0,1,1,0
5064.031821,0.031250,0,0,0,1,1,0,1,1,0
7510.023728,0.484289,2,2,0,1,1,0,0,0,0
6162.554372,0.484289,2,2,0,1,1,0,0,0,0
7044.684338,0.484289,2,2,0,1,1,0,0,0,0
7834.951031,0.484289,2,2,0,1,1,0,0,0,0
5632.404090,0.480198,2,2,0,2,2,0,0,0,0
6330.665322,0.031250,1,1,0,0,0,0,1,1,0
8389.701268,0.469091,0,0,0,0,0,0,0,0,0
