time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0
5283.523911,0.031250,,,,,,,,,,1,1,0,1,1,0,1,1,0
6862.262466,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
6310.953717,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7710.733717,0.480000,,,,,,,,,,0,0,0,0,0,0,2,2,0
5284.786757,0.031250,,,,,,,,,,1,1,0,1,1,0,1,1,0
6579.402704,0.469091,,,,,,,,,,0,0,0,0,0,0,1,1,0
8382.340452,0.444091,,,,,,,,,,0,0,0,1,1,0,0,0,0
7978.233094,0.484289,,,,,,,,,,0,0,0,2,2,0,0,0,0
4031.021976,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
5615.368253,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
6238.012858,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7736.198323,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7288.121101,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
6696.799040,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
6790.051036,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
7332.243057,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
7233.442829,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
6943.848748,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
6335.348816,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
6852.409891,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
5646.943728,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
6502.976774,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
6883.603838,0.031250,,,,,,,,,,1,1,0,0,0,0,0,0,0
6941.904669,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
4340.850954,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
7779.177402,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
8207.503171,0.472980,,,,,,,,,,0,0,0,0,0,0,0,0,0
6145.576906,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
6647.504753,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
6085.969325,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
5898.455867,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
5881.863701,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
4117.229164,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
7385.874452,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
7600.080581,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
7961.946300,0.493813,,,,,,,,,,0,0,0,2,2,0,0,0,0
5947.762507,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
7546.944944,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
7367.161186,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
6295.945723,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
6606.813499,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
4704.456287,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
6223.971451,0.458889,,,,,,,,,,0,0,0,1,1,0,2,2,0
4127.369994,0.031250,,,,,,,,,,1,1,0,1,1,0,2,2,0
7812.454261,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
8298.934372,0.472980,,,,,,,,,,0,0,0,0,0,0,0,0,0
7432.135601,0.458889,,,,,,,,,,0,0,0,1,1,0,2,2,0
6270.126173,0.458889,,,,,,,,,,0,0,0,1,1,0,2,2,0
6361.152779,0.493813,,,,,,,,,,0,0,0,2,2,0,1,1,0
6227.193900,0.458889,,,,,,,,,,0,0,0,1,1,0,2,2,0
4094.207677,0.056250,,,,,,,,,,1,1,0,0,0,0,2,2,0
7596.798548,0.483889,,,,,,,,,,0,0,0,0,0,0,2,2,0
5254.632364,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
6673.273928,0.483889,,,,,,,,,,0,0,0,0,0,0,2,2,0
7902.569268,0.458889,,,,,,,,,,0,0,0,1,1,0,2,2,0
6586.144129,0.031250,,,,,,,,,,1,1,0,1,1,0,0,0,0
3930.686847,0.031250,,,,,,,,,,1,1,0,1,1,0,2,2,0
6957.235880,0.447980,,,,,,,,,,0,0,0,1,1,0,1,1,0
4273.992015,0.031250,,,,,,,,,,1,1,0,1,1,0,2,2,0
5971.147054,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
7138.310856,0.458889,,,,,,,,,,0,0,0,1,1,0,2,2,0
5849.923472,0.031250,,,,,,,,,,1,1,0,1,1,0,1,1,0
5062.469203,0.031250,,,,,,,,,,1,1,0,1,1,0,1,1,0
6451.788180,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
9280.202575,0.469091,,,,,,,,,,0,0,0,0,0,0,0,0,0
7754.487042,0.484289,,,,,,,,,,0,0,0,2,2,0,0,0,0
6559.899057,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7287.448735,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
6473.678053,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
7965.692367,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
3997.563883,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
5232.676747,0.031250,,,,,,,,,,1,1,0,1,1,0,1,1,0
6160.897514,0.005556,,,,,,,,,,1,1,0,2,2,0,0,0,0
5064.031821,0.031250,,,,,,,,,,1,1,0,0,0,0,1,1,0
7510.023728,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
6162.554372,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
7044.684338,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
7834.951031,0.484289,,,,,,,,,,0,0,0,2,2,0,1,1,0
5632.404090,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
6330.665322,0.031250,,,,,,,,,,1,1,0,1,1,0,0,0,0
8389.701268,0.469091,,,,,,,,,,0,0,0,0,0,0,0,0,0
5783.374653,0.480198,,,,,,,,,,0,0,0,2,2,0,2,2,0
4065.523509,0.056250,,,,,,,,,,1,1,0,0,0,0,2,2,0
7147.570050,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
9784.484471,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
7561.727357,0.031250,,,,,,,,,,1,1,0,0,0,0,0,0,0
7226.338271,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
6474.993913,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
5776.537049,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
6549.603505,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7978.181053,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
8072.436750,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7286.908631,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
5643.516204,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7641.957163,0.489722,,,,,,,,,,0,0,0,2,2,0,2,2,0
4084.125165,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
3996.144115,0.055556,,,,,,,,,,1,1,0,2,2,0,2,2,0
8169.875156,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7952.246972,0.444091,,,,,,,,,,0,0,0,1,1,0,0,0,0
5802.822795,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
8515.727660,0.469091,,,,,,,,,,0,0,0,0,0,0,0,0,0
8220.831215,0.444091,,,,,,,,,,0,0,0,1,1,0,0,0,0
6897.562262,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
4183.801003,0.031250,,,,,,,,,,1,1,0,1,1,0,2,2,0
8000.389328,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
7441.107085,0.444091,,,,,,,,,,0,0,0,1,1,0,1,1,0
9839.932171,0.485480,,,,,,,,,,0,0,0,2,2,0,1,1,0
5879.354725,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
6957.266467,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
5586.092478,0.005556,,,,,,,,,,1,1,0,2,2,0,1,1,0
5762.177763,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
4507.900845,0.005556,,,,,,,,,,1,1,0,2,2,0,1,1,0
7945.356291,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7925.583041,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
7998.332363,0.455000,,,,,,,,,,0,0,0,1,1,0,2,2,0
