time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0
6027.375775,0.485480,,,,,,,,,,0,1,10,0,2,1,0,1,7
5523.973971,0.485480,,,,,,,,,,1,0,2,1,2,4,1,0,5
5076.568293,0.075000,,,,,,,,,,1,0,7,0,1,3,0,0,4
5409.094709,0.485480,,,,,,,,,,1,0,2,1,2,4,0,1,4
3873.597903,0.031250,,,,,,,,,,1,0,10,1,0,3,0,1,1
3501.406434,0.135556,,,,,,,,,,0,1,4,0,2,2,2,1,9
4867.122533,0.485480,,,,,,,,,,1,0,2,1,2,5,1,1,5
5349.864514,0.485480,,,,,,,,,,1,0,2,1,2,5,1,1,4
4833.353517,0.460480,,,,,,,,,,1,0,3,1,2,5,1,1,5
4840.481554,0.460480,,,,,,,,,,1,0,3,2,2,5,1,1,4
5495.495660,0.460480,,,,,,,,,,1,0,3,1,2,5,1,1,4
4833.248831,0.460480,,,,,,,,,,1,0,3,1,2,5,1,1,6
4490.418983,0.456389,,,,,,,,,,1,0,3,1,2,5,2,1,6
4553.784486,0.456389,,,,,,,,,,1,0,3,1,2,5,2,1,5
4527.355093,0.481389,,,,,,,,,,1,0,2,1,2,5,2,1,6
4292.269599,0.456389,,,,,,,,,,1,0,3,1,2,5,2,2,6
4285.653411,0.456389,,,,,,,,,,1,0,3,1,2,5,2,2,5
3457.954094,0.255556,,,,,,,,,,1,0,5,1,2,5,2,2,6
4325.903353,0.481389,,,,,,,,,,1,0,2,1,2,5,2,2,5
4560.479651,0.481389,,,,,,,,,,0,0,3,1,2,5,2,2,5
3451.945020,0.255556,,,,,,,,,,1,0,5,1,2,5,2,2,5
4010.819178,0.376389,,,,,,,,,,1,0,4,1,2,5,1,2,4
7476.093922,0.469091,,,,,,,,,,0,1,8,0,0,3,2,0,4
5255.125034,0.075000,,,,,,,,,,1,0,7,1,1,5,1,0,10
5878.723869,0.484091,,,,,,,,,,0,1,8,0,0,3,2,0,7
6417.896991,0.444091,,,,,,,,,,0,0,5,2,1,2,2,1,1
5764.435160,0.440341,,,,,,,,,,0,1,7,0,0,3,2,0,7
5577.956687,0.290341,,,,,,,,,,0,1,6,0,0,3,2,0,7
5704.576389,0.440341,,,,,,,,,,0,1,7,0,0,2,2,0,7
5739.127316,0.440341,,,,,,,,,,0,1,7,2,0,3,2,0,7
5349.768303,0.480000,,,,,,,,,,0,1,8,0,0,2,2,0,10
